date,dayOfWeek,dayOfWeekNumber,minutesAsleep
1/10/2013,Thursday,5,292
1/11/2013,Friday,6,395
1/12/2013,Saturday,7,289
1/13/2013,Sunday,1,393
1/14/2013,Monday,2,374
1/15/2013,Tuesday,3,348
1/16/2013,Wednesday,4,354
1/17/2013,Thursday,5,339
1/18/2013,Friday,6,410
1/19/2013,Saturday,7,366
1/20/2013,Sunday,1,578
1/21/2013,Monday,2,446
1/22/2013,Tuesday,3,422
1/23/2013,Wednesday,4,315
1/24/2013,Thursday,5,298
1/25/2013,Friday,6,378
1/26/2013,Saturday,7,396
1/28/2013,Monday,2,256
1/29/2013,Tuesday,3,416
1/30/2013,Wednesday,4,346
1/31/2013,Thursday,5,369
2/1/2013,Friday,6,345
2/2/2013,Saturday,7,352
2/3/2013,Sunday,1,378
2/4/2013,Monday,2,302
2/5/2013,Tuesday,3,405
2/6/2013,Wednesday,4,357
2/7/2013,Thursday,5,358
2/8/2013,Friday,6,357
2/9/2013,Saturday,7,454
2/10/2013,Sunday,1,427
2/11/2013,Monday,2,330
2/12/2013,Tuesday,3,399
2/13/2013,Wednesday,4,323
2/14/2013,Thursday,5,329
2/15/2013,Friday,6,353
2/17/2013,Sunday,1,414
2/18/2013,Monday,2,381
2/19/2013,Tuesday,3,339
2/20/2013,Wednesday,4,292
2/20/2013,Wednesday,4,293
2/21/2013,Thursday,5,335
2/22/2013,Friday,6,408
2/23/2013,Saturday,7,415
2/24/2013,Sunday,1,405
2/25/2013,Monday,2,363
2/26/2013,Tuesday,3,250
2/27/2013,Wednesday,4,386
2/28/2013,Thursday,5,327
3/1/2013,Friday,6,371
3/2/2013,Saturday,7,485
3/3/2013,Sunday,1,341
3/4/2013,Monday,2,359
3/5/2013,Tuesday,3,383
3/6/2013,Wednesday,4,308
3/7/2013,Thursday,5,429
3/8/2013,Friday,6,318
3/9/2013,Saturday,7,336
3/10/2013,Sunday,1,423
3/11/2013,Monday,2,379
3/12/2013,Tuesday,3,367
3/13/2013,Wednesday,4,334
3/14/2013,Thursday,5,372
3/15/2013,Friday,6,351
3/16/2013,Saturday,7,372
3/17/2013,Sunday,1,404
3/18/2013,Monday,2,411
3/19/2013,Tuesday,3,281
3/20/2013,Wednesday,4,15
3/20/2013,Wednesday,4,396
3/21/2013,Thursday,5,326
3/22/2013,Friday,6,347
3/23/2013,Saturday,7,311
3/24/2013,Sunday,1,468
3/25/2013,Monday,2,385
3/26/2013,Tuesday,3,37
3/26/2013,Tuesday,3,260
3/27/2013,Wednesday,4,261
3/28/2013,Thursday,5,377
3/29/2013,Friday,6,376
3/30/2013,Saturday,7,355
3/31/2013,Sunday,1,354
4/1/2013,Monday,2,381
4/2/2013,Tuesday,3,10
4/2/2013,Tuesday,3,412
4/3/2013,Wednesday,4,465
4/4/2013,Thursday,5,292
4/5/2013,Friday,6,484
4/6/2013,Saturday,7,507
4/7/2013,Sunday,1,421
4/8/2013,Monday,2,340
4/9/2013,Tuesday,3,283
4/10/2013,Wednesday,4,279
4/11/2013,Thursday,5,385
4/12/2013,Friday,6,329
4/13/2013,Saturday,7,452
4/14/2013,Sunday,1,522
4/15/2013,Monday,2,220
4/16/2013,Tuesday,3,352
4/17/2013,Wednesday,4,253
4/18/2013,Thursday,5,413
4/19/2013,Friday,6,430
4/20/2013,Saturday,7,464
4/21/2013,Sunday,1,411
4/22/2013,Monday,2,322
4/23/2013,Tuesday,3,324
4/24/2013,Wednesday,4,341
4/25/2013,Thursday,5,381
4/26/2013,Friday,6,299
4/27/2013,Saturday,7,367
4/28/2013,Sunday,1,444
4/29/2013,Monday,2,376
4/30/2013,Tuesday,3,283
5/1/2013,Wednesday,4,344
5/2/2013,Thursday,5,416
5/3/2013,Friday,6,322
5/4/2013,Saturday,7,407
5/5/2013,Sunday,1,365
5/6/2013,Monday,2,373
5/7/2013,Tuesday,3,361
5/8/2013,Wednesday,4,335
5/9/2013,Thursday,5,284
5/10/2013,Friday,6,232
5/11/2013,Saturday,7,351
5/12/2013,Sunday,1,393
5/13/2013,Monday,2,360
5/14/2013,Tuesday,3,387
5/15/2013,Wednesday,4,366
5/16/2013,Thursday,5,380
5/17/2013,Friday,6,290
5/18/2013,Saturday,7,355
5/19/2013,Sunday,1,536
5/20/2013,Monday,2,289
5/21/2013,Tuesday,3,358
5/22/2013,Wednesday,4,349
5/23/2013,Thursday,5,414
5/24/2013,Friday,6,350
5/25/2013,Saturday,7,408
5/29/2013,Wednesday,4,422
5/31/2013,Friday,6,369
6/1/2013,Saturday,7,446
6/2/2013,Sunday,1,410
6/3/2013,Monday,2,320
6/4/2013,Tuesday,3,352
6/5/2013,Wednesday,4,298
6/6/2013,Thursday,5,353
6/7/2013,Friday,6,333
6/8/2013,Saturday,7,327
6/9/2013,Sunday,1,307
6/10/2013,Monday,2,347
6/11/2013,Tuesday,3,393
6/12/2013,Wednesday,4,305
6/13/2013,Thursday,5,285
6/14/2013,Friday,6,424
6/16/2013,Sunday,1,482
6/17/2013,Monday,2,339
6/18/2013,Tuesday,3,257
6/20/2013,Thursday,5,371
6/21/2013,Friday,6,215
6/25/2013,Tuesday,3,276
6/26/2013,Wednesday,4,312
6/28/2013,Friday,6,342
6/29/2013,Saturday,7,456
6/30/2013,Sunday,1,526
7/1/2013,Monday,2,365
7/2/2013,Tuesday,3,372
7/3/2013,Wednesday,4,365
7/4/2013,Thursday,5,500
7/5/2013,Friday,6,370
