date,dayOfWeek,dayOfWeekNumber,steps
5/1/2013,Wednesday,4,5365
5/2/2013,Thursday,5,5640
5/3/2013,Friday,6,9308
5/4/2013,Saturday,7,6196
5/5/2013,Sunday,1,9500
5/6/2013,Monday,2,10665
5/7/2013,Tuesday,3,5055
5/8/2013,Wednesday,4,13791
5/9/2013,Thursday,5,7041
5/10/2013,Friday,6,12723
5/11/2013,Saturday,7,4730
5/12/2013,Sunday,1,9456
5/13/2013,Monday,2,7096
5/14/2013,Tuesday,3,6963
5/15/2013,Wednesday,4,8493
5/16/2013,Thursday,5,7677
5/17/2013,Friday,6,8180
5/18/2013,Saturday,7,8605
5/19/2013,Sunday,1,5275
5/20/2013,Monday,2,5924
5/21/2013,Tuesday,3,5329
5/22/2013,Wednesday,4,7471
5/23/2013,Thursday,5,7243
5/24/2013,Friday,6,8366
5/25/2013,Saturday,7,309
5/26/2013,Sunday,1,
5/27/2013,Monday,2,
5/28/2013,Tuesday,3,32
5/29/2013,Wednesday,4,8325
5/30/2013,Thursday,5,7210
5/31/2013,Friday,6,7409
6/1/2013,Saturday,7,10364
6/2/2013,Sunday,1,5988
6/3/2013,Monday,2,8642
6/4/2013,Tuesday,3,21863
6/5/2013,Wednesday,4,11255
6/6/2013,Thursday,5,7171
6/7/2013,Friday,6,10882
6/8/2013,Saturday,7,3853
6/9/2013,Sunday,1,7868
6/10/2013,Monday,2,3781
6/11/2013,Tuesday,3,5315
6/12/2013,Wednesday,4,17478
6/13/2013,Thursday,5,6102
6/14/2013,Friday,6,4957
6/15/2013,Saturday,7,7604
6/16/2013,Sunday,1,5919
6/17/2013,Monday,2,10693
6/18/2013,Tuesday,3,15157
6/19/2013,Wednesday,4,11712
6/20/2013,Thursday,5,6628
6/21/2013,Friday,6,5735
6/22/2013,Saturday,7,7103
6/23/2013,Sunday,1,5030
6/24/2013,Monday,2,10070
6/25/2013,Tuesday,3,5367
6/26/2013,Wednesday,4,9593
6/27/2013,Thursday,5,5957
6/28/2013,Friday,6,7641
6/29/2013,Saturday,7,7912
6/30/2013,Sunday,1,9133
7/1/2013,Monday,2,7505
7/2/2013,Tuesday,3,6639
7/3/2013,Wednesday,4,8783
7/4/2013,Thursday,5,6974
7/5/2013,Friday,6,6876
7/6/2013,Saturday,7,7461
7/7/2013,Sunday,1,8552
7/8/2013,Monday,2,11300
7/9/2013,Tuesday,3,9840
7/10/2013,Wednesday,4,10240
7/11/2013,Thursday,5,8384
7/12/2013,Friday,6,7678
7/13/2013,Saturday,7,9061
7/14/2013,Sunday,1,8447
7/15/2013,Monday,2,10561
7/16/2013,Tuesday,3,5844
7/17/2013,Wednesday,4,4420
7/18/2013,Thursday,5,15472
7/19/2013,Friday,6,21706
7/20/2013,Saturday,7,6099
7/21/2013,Sunday,1,4402
7/22/2013,Monday,2,6389
7/23/2013,Tuesday,3,11799
7/24/2013,Wednesday,4,6615
7/25/2013,Thursday,5,4358
7/26/2013,Friday,6,10658
