date,dayOfWeek,dayOfWeekNumber,minutesAsleep
6/18/2013,Tuesday,3,473
6/19/2013,Wednesday,4,751
6/20/2013,Thursday,5,454
6/21/2013,Friday,6,336
6/22/2013,Saturday,7,441
6/24/2013,Monday,2,461
6/25/2013,Tuesday,3,566
6/26/2013,Wednesday,4,489
6/27/2013,Thursday,5,471
6/29/2013,Saturday,7,572
6/30/2013,Sunday,1,556
7/2/2013,Tuesday,3,524
7/3/2013,Wednesday,4,555
7/4/2013,Thursday,5,654
7/6/2013,Saturday,7,479
7/7/2013,Sunday,1,595
7/8/2013,Monday,2,540
7/9/2013,Tuesday,3,424
7/10/2013,Wednesday,4,741
7/14/2013,Sunday,1,569
7/16/2013,Tuesday,3,520
7/17/2013,Wednesday,4,557
7/18/2013,Thursday,5,521
7/19/2013,Friday,6,471
7/20/2013,Saturday,7,277
7/22/2013,Monday,2,466
7/24/2013,Wednesday,4,497
7/25/2013,Thursday,5,721
7/26/2013,Friday,6,481
7/27/2013,Saturday,7,486
7/28/2013,Sunday,1,473
7/29/2013,Monday,2,460
7/31/2013,Wednesday,4,478
8/1/2013,Thursday,5,148
8/1/2013,Thursday,5,482
8/2/2013,Friday,6,488
8/3/2013,Saturday,7,490
8/4/2013,Sunday,1,511
8/5/2013,Monday,2,579
8/6/2013,Tuesday,3,331
8/7/2013,Wednesday,4,771
8/8/2013,Thursday,5,558
8/9/2013,Friday,6,742
8/11/2013,Sunday,1,524
8/19/2013,Monday,2,488
8/28/2013,Wednesday,4,560
9/4/2013,Wednesday,4,691
9/17/2013,Tuesday,3,136
9/17/2013,Tuesday,3,744
9/19/2013,Thursday,5,443
9/20/2013,Friday,6,398
9/21/2013,Saturday,7,823
9/23/2013,Monday,2,450
10/1/2013,Tuesday,3,431
10/2/2013,Wednesday,4,893
10/3/2013,Thursday,5,917
10/4/2013,Friday,6,419
10/8/2013,Tuesday,3,579
10/9/2013,Wednesday,4,481
10/10/2013,Thursday,5,128
10/11/2013,Friday,6,513
10/14/2013,Monday,2,451
10/15/2013,Tuesday,3,438
10/17/2013,Thursday,5,498
10/18/2013,Friday,6,506
10/21/2013,Monday,2,203
10/22/2013,Tuesday,3,453
10/23/2013,Wednesday,4,415
10/24/2013,Thursday,5,448
10/26/2013,Saturday,7,655
10/27/2013,Sunday,1,600
10/29/2013,Tuesday,3,197
10/30/2013,Wednesday,4,465
11/4/2013,Monday,2,382
11/5/2013,Tuesday,3,466
11/6/2013,Wednesday,4,526
11/7/2013,Thursday,5,486
11/9/2013,Saturday,7,623
11/11/2013,Monday,2,416
11/12/2013,Tuesday,3,441
11/14/2013,Thursday,5,495
11/15/2013,Friday,6,446
11/17/2013,Sunday,1,643
11/18/2013,Monday,2,485
11/19/2013,Tuesday,3,448
11/20/2013,Wednesday,4,203
11/21/2013,Thursday,5,430
11/23/2013,Saturday,7,541
11/25/2013,Monday,2,554
11/30/2013,Saturday,7,518
12/1/2013,Sunday,1,309
12/3/2013,Tuesday,3,457
12/4/2013,Wednesday,4,464
12/21/2013,Saturday,7,661
12/22/2013,Sunday,1,543
12/24/2013,Tuesday,3,526
12/25/2013,Wednesday,4,517
12/26/2013,Thursday,5,695
12/27/2013,Friday,6,592
12/28/2013,Saturday,7,638
12/29/2013,Sunday,1,582
12/30/2013,Monday,2,639
1/1/2014,Wednesday,4,521
1/2/2014,Thursday,5,532
1/3/2014,Friday,6,674
1/4/2014,Saturday,7,589
1/5/2014,Sunday,1,600
1/6/2014,Monday,2,447
1/7/2014,Tuesday,3,424
1/8/2014,Wednesday,4,428
1/9/2014,Thursday,5,452
1/11/2014,Saturday,7,573
1/12/2014,Sunday,1,529
1/13/2014,Monday,2,417
1/14/2014,Tuesday,3,400
1/15/2014,Wednesday,4,429
1/16/2014,Thursday,5,456
1/17/2014,Friday,6,450
1/18/2014,Saturday,7,574
1/20/2014,Monday,2,241
1/21/2014,Tuesday,3,459
1/22/2014,Wednesday,4,436
1/23/2014,Thursday,5,457
1/24/2014,Friday,6,417
1/26/2014,Sunday,1,652
1/27/2014,Monday,2,0
1/27/2014,Monday,2,404
1/28/2014,Tuesday,3,405
1/29/2014,Wednesday,4,435
1/30/2014,Thursday,5,420
1/31/2014,Friday,6,477
2/1/2014,Saturday,7,578
2/2/2014,Sunday,1,675
2/3/2014,Monday,2,461
2/4/2014,Tuesday,3,411
2/5/2014,Wednesday,4,418
2/6/2014,Thursday,5,437
2/7/2014,Friday,6,433
2/8/2014,Saturday,7,558
2/9/2014,Sunday,1,481
2/11/2014,Tuesday,3,593
2/12/2014,Wednesday,4,499
2/13/2014,Thursday,5,509
2/14/2014,Friday,6,498
2/15/2014,Saturday,7,606
2/16/2014,Sunday,1,528
2/17/2014,Monday,2,559
2/18/2014,Tuesday,3,400
2/19/2014,Wednesday,4,423
2/20/2014,Thursday,5,457
2/21/2014,Friday,6,408
2/22/2014,Saturday,7,528
2/23/2014,Sunday,1,514
2/24/2014,Monday,2,0
2/24/2014,Monday,2,442
2/25/2014,Tuesday,3,435
2/26/2014,Wednesday,4,422
2/27/2014,Thursday,5,153
2/27/2014,Thursday,5,245
2/28/2014,Friday,6,426
3/1/2014,Saturday,7,517
3/2/2014,Sunday,1,663
3/3/2014,Monday,2,412
3/4/2014,Tuesday,3,444
3/5/2014,Wednesday,4,434
3/6/2014,Thursday,5,425
3/7/2014,Friday,6,400
3/8/2014,Saturday,7,465
3/9/2014,Sunday,1,547
3/10/2014,Monday,2,429
3/12/2014,Wednesday,4,418
3/13/2014,Thursday,5,129
3/14/2014,Friday,6,405
3/15/2014,Saturday,7,581
