date,dayOfWeek,dayOfWeekNumber,steps
1/9/2013,Wednesday,4,
1/10/2013,Thursday,5,211
1/11/2013,Friday,6,
1/12/2013,Saturday,7,
1/13/2013,Sunday,1,
1/14/2013,Monday,2,
1/15/2013,Tuesday,3,
1/16/2013,Wednesday,4,
1/17/2013,Thursday,5,
1/18/2013,Friday,6,
1/19/2013,Saturday,7,
1/20/2013,Sunday,1,
1/21/2013,Monday,2,
1/22/2013,Tuesday,3,
1/23/2013,Wednesday,4,
1/24/2013,Thursday,5,
1/25/2013,Friday,6,
1/26/2013,Saturday,7,
1/27/2013,Sunday,1,
1/28/2013,Monday,2,
1/29/2013,Tuesday,3,
1/30/2013,Wednesday,4,
1/31/2013,Thursday,5,
2/1/2013,Friday,6,
2/2/2013,Saturday,7,
2/3/2013,Sunday,1,
2/4/2013,Monday,2,
2/5/2013,Tuesday,3,
2/6/2013,Wednesday,4,
2/7/2013,Thursday,5,
2/8/2013,Friday,6,
2/9/2013,Saturday,7,
2/10/2013,Sunday,1,
2/11/2013,Monday,2,
2/12/2013,Tuesday,3,
2/13/2013,Wednesday,4,
2/14/2013,Thursday,5,
2/15/2013,Friday,6,
2/16/2013,Saturday,7,
2/17/2013,Sunday,1,
2/18/2013,Monday,2,
2/19/2013,Tuesday,3,
2/20/2013,Wednesday,4,
2/21/2013,Thursday,5,
2/22/2013,Friday,6,
2/23/2013,Saturday,7,
2/24/2013,Sunday,1,
2/25/2013,Monday,2,
2/26/2013,Tuesday,3,
2/27/2013,Wednesday,4,
2/28/2013,Thursday,5,
3/1/2013,Friday,6,
3/2/2013,Saturday,7,
3/3/2013,Sunday,1,
3/4/2013,Monday,2,
3/5/2013,Tuesday,3,
3/6/2013,Wednesday,4,
3/7/2013,Thursday,5,
3/8/2013,Friday,6,
3/9/2013,Saturday,7,
3/10/2013,Sunday,1,
3/11/2013,Monday,2,
3/12/2013,Tuesday,3,
3/13/2013,Wednesday,4,
3/14/2013,Thursday,5,
3/15/2013,Friday,6,
3/16/2013,Saturday,7,
3/17/2013,Sunday,1,
3/18/2013,Monday,2,
3/19/2013,Tuesday,3,
3/20/2013,Wednesday,4,
3/21/2013,Thursday,5,
3/22/2013,Friday,6,
3/23/2013,Saturday,7,
3/24/2013,Sunday,1,
3/25/2013,Monday,2,
3/26/2013,Tuesday,3,
3/27/2013,Wednesday,4,
3/28/2013,Thursday,5,
3/29/2013,Friday,6,
3/30/2013,Saturday,7,
3/31/2013,Sunday,1,
4/1/2013,Monday,2,
4/2/2013,Tuesday,3,
4/3/2013,Wednesday,4,
4/4/2013,Thursday,5,
4/5/2013,Friday,6,
4/6/2013,Saturday,7,
4/7/2013,Sunday,1,
4/8/2013,Monday,2,
4/9/2013,Tuesday,3,
4/10/2013,Wednesday,4,
4/11/2013,Thursday,5,
4/12/2013,Friday,6,
4/13/2013,Saturday,7,
4/14/2013,Sunday,1,
4/15/2013,Monday,2,
4/16/2013,Tuesday,3,
4/17/2013,Wednesday,4,
4/18/2013,Thursday,5,
4/19/2013,Friday,6,
4/20/2013,Saturday,7,
4/21/2013,Sunday,1,
4/22/2013,Monday,2,
4/23/2013,Tuesday,3,
4/24/2013,Wednesday,4,
4/25/2013,Thursday,5,
4/26/2013,Friday,6,
4/27/2013,Saturday,7,
4/28/2013,Sunday,1,
4/29/2013,Monday,2,
4/30/2013,Tuesday,3,
5/1/2013,Wednesday,4,
5/2/2013,Thursday,5,
5/3/2013,Friday,6,
5/4/2013,Saturday,7,
5/5/2013,Sunday,1,
5/6/2013,Monday,2,
5/7/2013,Tuesday,3,
5/8/2013,Wednesday,4,
5/9/2013,Thursday,5,
5/10/2013,Friday,6,
